timestamp,mac,rssi,channel,veces,ssid
2026-03-24 17:19:30,44:D4:54:D3:47:57,-70,11,2,Personal-752
2026-03-24 17:19:30,3A:3F:B3:DC:EE:FC,-70,11,2,Personal Wifi Zone
2026-03-24 17:19:30,A0:FF:70:D5:36:90,-72,1,2,CASAM 2.4Ghz
2026-03-24 17:19:30,D8:07:B6:F7:66:88,-72,6,2,TP-Link_6688
2026-03-24 17:19:30,A2:FF:70:D5:36:94,-73,1,2,Personal Wifi Zone
2026-03-24 17:19:30,96:90:10:D4:BC:94,-74,2,2,Clarojbk
2026-03-24 17:19:30,9C:71:3A:64:85:08,-74,9,1,CLARO
2026-03-24 17:19:30,5A:2F:F7:98:50:7B,-74,11,1,Personal Wifi Zone
2026-03-24 17:19:30,96:90:10:D4:BC:97,-75,2,2,HIDDEN
2026-03-24 17:19:30,84:46:FE:99:40:10,-75,9,1,CLAROCASA
2026-03-24 17:19:30,58:2F:F7:98:4F:7F,-75,11,2,Personal-F7A-2.4GHz
2026-03-24 17:19:30,F4:C1:14:A1:1F:90,-76,1,1,Fibertel WiFi160 2.4GHz
2026-03-24 17:19:30,B0:EC:DD:EE:A0:84,-76,4,1,Clarointernet
2026-03-24 17:19:30,C2:F9:B0:72:A1:97,-77,5,2,HIDDEN
2026-03-24 17:19:30,7A:EB:46:73:61:C3,-77,6,2,Personal Wifi Zone
2026-03-24 17:19:30,C2:F9:B0:72:A1:94,-78,5,2,Claro-Fibra-3PA
2026-03-24 17:19:30,7A:EB:46:73:61:C0,-78,6,2,Fibertel WiFi269 2.4GHz
2026-03-24 17:19:30,98:1E:19:BB:16:50,-79,1,1,Fibertel WiFi053 2.4GHz
2026-03-24 17:19:30,CA:84:CF:9A:42:48,-79,6,2,Roque
2026-03-24 17:19:30,6C:D8:19:B6:6A:18,-79,6,2,fh_b66a18
2026-03-24 17:19:30,F0:81:75:22:00:B3,-80,1,2,Wifi pochi
2026-03-24 17:19:30,9A:1E:19:BB:17:54,-82,1,2,Personal Wifi Zone
2026-03-24 17:19:30,90:58:51:8F:88:38,-82,1,2,Fibertel WiFi143 2.4GHz
2026-03-24 17:19:30,44:00:4D:5B:8E:1C,-82,5,1,SOFIYAGOS
2026-03-24 17:19:30,9A:1A:35:13:46:07,-82,6,2,HIDDEN
2026-03-24 17:19:30,3A:17:B1:7A:82:01,-82,6,1,Personal Wifi Zone
2026-03-24 17:19:30,38:17:B1:7A:82:05,-82,6,1,Personal-200
2026-03-24 17:19:30,B8:8C:2B:68:96:25,-82,11,1,Baucerowifi-2.4Ghz
2026-03-24 17:19:30,92:58:51:8F:88:3C,-83,1,2,Personal Wifi Zone
2026-03-24 17:19:30,F2:81:75:22:01:B7,-83,1,1,Personal Wifi Zone
2026-03-24 17:19:30,14:57:9F:EF:ED:AC,-83,1,1,CLAROCASA
2026-03-24 17:19:30,CA:84:CF:9A:42:4B,-83,6,2,HIDDEN
2026-03-24 17:19:30,CC:F3:C8:15:60:E8,-84,1,2,Personal-0E4
2026-03-24 17:19:30,8E:83:E8:FC:A5:D3,-85,7,1,HIDDEN
2026-03-24 17:19:30,28:53:4E:B5:91:70,-86,3,2,SCALCIONE
2026-03-24 17:19:30,CE:F3:C8:15:60:EC,-87,1,2,Personal Wifi Zone
2026-03-24 17:19:30,6C:D8:19:B5:8F:F0,-87,6,1,fh_b58ff0
2026-03-24 17:19:30,F0:25:8E:DE:32:04,-87,7,1,ESTUDIOCOSSETTINI
2026-03-24 17:19:30,EE:BE:DD:A9:29:1E,-87,11,1,Personal Wifi Zone
2026-03-24 17:19:30,18:3D:5E:22:D4:84,-88,1,2,casaestudio
2026-03-24 17:19:30,B2:C7:87:C2:96:27,-88,1,2,Personal Wifi Zone
2026-03-24 17:19:30,5C:76:95:0D:22:60,-88,11,1,Flor 2.4GHz
2026-03-24 17:19:30,6C:D8:19:B5:9F:A8,-89,9,1,fh_b59fa8
2026-03-24 17:19:30,08:7E:64:93:84:D0,-89,11,1,Fibertel WiFi976 2.4GHz
2026-03-24 17:19:30,6C:D8:19:B6:02:80,-90,1,2,fh_b60280
2026-03-24 17:19:30,C2:E1:BE:77:77:DC,-90,1,2,ClaroFibra5
2026-03-24 17:19:30,6E:26:36:CB:1F:78,-90,3,1,Cusit
2026-03-24 17:19:30,5E:76:95:0D:22:64,-90,11,1,Personal Wifi Zone
2026-03-24 17:19:30,6C:BA:B8:EC:95:BD,-92,1,1,fibercorp WiFi 616
2026-03-24 17:19:38,9A:F0:83:9E:2D:73,-45,6,3,HIDDEN
2026-03-24 17:19:38,9A:F0:83:9E:2D:70,-47,6,3,Claro-Fibra-2.4G-3523
2026-03-24 17:19:38,3E:B7:4B:43:0E:39,-48,11,3,Personal Wifi Zone
2026-03-24 17:19:38,D0:57:94:6C:78:A6,-49,11,3,Personal-8A1
2026-03-24 17:19:38,3C:B7:4B:43:0E:38,-50,11,2,Personal-E34
2026-03-24 17:19:38,D2:57:94:6C:79:A2,-51,11,3,Personal Wifi Zone
2026-03-24 17:19:38,7E:33:F9:78:97:CC,-57,7,3,GOMEZ
2026-03-24 17:19:38,7E:33:F9:78:97:CF,-58,7,3,HIDDEN
2026-03-24 17:19:39,08:7E:64:8F:D5:E0,-68,11,3,Carla
2026-03-24 17:19:39,7E:33:F9:78:79:93,-69,3,3,HIDDEN
2026-03-24 17:19:39,7E:33:F9:78:79:90,-70,3,3,CLARO3077
2026-03-24 17:19:39,44:D4:54:D3:47:57,-71,11,3,Personal-752
2026-03-24 17:19:39,96:90:10:D4:BC:94,-72,2,3,Clarojbk
2026-03-24 17:19:39,7A:EB:46:73:61:C3,-72,6,3,Personal Wifi Zone
2026-03-24 17:19:39,58:2F:F7:98:4F:7F,-72,11,3,Personal-F7A-2.4GHz
2026-03-24 17:19:39,0A:7E:64:8F:D5:E4,-72,11,3,Personal Wifi Zone
2026-03-24 17:19:39,38:3F:B3:DC:EE:F8,-72,11,2,Personal-EF4
2026-03-24 17:19:39,A0:FF:70:D5:36:90,-73,1,3,CASAM 2.4Ghz
2026-03-24 17:19:39,96:90:10:D4:BC:97,-73,2,3,HIDDEN
2026-03-24 17:19:39,3A:3F:B3:DC:EE:FC,-73,11,3,Personal Wifi Zone
2026-03-24 17:19:39,5A:2F:F7:98:50:7B,-73,11,2,Personal Wifi Zone
2026-03-24 17:19:39,46:D4:54:D3:48:53,-73,11,3,Personal Wifi Zone
2026-03-24 17:19:39,A2:FF:70:D5:36:94,-74,1,3,Personal Wifi Zone
2026-03-24 17:19:39,7A:EB:46:73:61:C0,-76,6,3,Fibertel WiFi269 2.4GHz
